url,label,type
br-icloud.com.br,malicious,phishing
mp3raid.com/music/krizz_kaliko.html,safe,benign
bopsecrets.org/rexroth/cr/1.htm,safe,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,suspicious,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,suspicious,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,safe,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,safe,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,safe,benign
http://www.pashminaonline.com/pure-pashminas,suspicious,defacement
allmusic.com/album/crazy-from-the-heat-r16990,safe,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,safe,benign
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,suspicious,defacement
myspace.com/video/vid/30602581,safe,benign
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,suspicious,defacement
http://www.szabadmunkaero.hu/cimoldal.html?start=12,suspicious,defacement
http://larcadelcarnevale.com/catalogo/palloncini,suspicious,defacement
quickfacts.census.gov/qfd/maps/iowa_map.html,safe,benign
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,safe,benign
uk.linkedin.com/pub/steve-rubenstein/8/718/755,safe,benign
http://www.vnic.co/khach-hang.html,suspicious,defacement
baseball-reference.com/players/h/harrige01.shtml,safe,benign
signin.eby.de.zukruygxctzmmqi.civpro.co.za,malicious,phishing
192.com/atoz/people/oakley/patrick/,safe,benign
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,safe,benign
escholarship.org/uc/item/5xt4952c,safe,benign
songfacts.com/detail.php?id=13410,safe,benign
casamanana.org/education/blba/,safe,benign
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,safe,benign
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,malicious,phishing
en.wikipedia.org/wiki/North_Dakota,safe,benign
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,safe,benign
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,safe,benign
media.caltech.edu/press_releases/13186,safe,benign
wikiobits.com/Obits/TonyProudfoot,safe,benign
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,safe,benign
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,suspicious,defacement
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,safe,benign
cyndislist.com/us/pa/counties,safe,benign
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malicious,malware
http://www.raci.it/component/user/reset.html,suspicious,defacement
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,malicious,phishing
psychology.wikia.com/wiki/Phonemes,safe,benign
